algorithm,purity,macro_f1,weighted_f1,accuracy,homogeneity,completeness,v_measure,nmi,ami,ari,fowlkes_mallows,bcubed_precision,bcubed_recall,bcubed_f1,divergence,runtime,params,method,dataset
iris_select_clusters_cfg8,0.8,0.6199430199430199,0.610940170940171,0.6,0.6205631738651606,0.4885216093532874,0.546682318591114,0.546682318591114,0.4309538082524227,0.3403693931398417,0.5216478327053429,0.7166666666666666,0.5714285714285714,0.6358595194085027,0.47,0.5541768074035645,"{'random_state': 42, 'n_estimators': 40, 'max_depth': 4}",select_clusters,iris
iris_balance_lists_n_clusters_cfg8,0.65,0.5952380952380952,0.5821428571428571,0.6,0.42320622571530636,0.42929260278115833,0.42622768754049417,0.42622768754049417,0.35343055880033636,0.2803970223325062,0.5000743328629693,0.5585714285714286,0.6000000000000001,0.5785450061652281,0.36,0.9405117034912109,"{'random_state': 42, 'n_estimators': 40, 'max_depth': 4}",balance_lists_n_clusters,iris
iris_max_prob_clusters_cfg8,0.65,0.5857142857142857,0.5721428571428572,0.6,0.42563392209435297,0.4617157039445305,0.44294122676252545,0.44294122676252545,0.3678331474660834,0.30787589498806683,0.5339973609121261,0.5611111111111111,0.6571428571428573,0.605342019543974,0.36250000000000004,0.7970831394195557,"{'random_state': 42, 'n_estimators': 40, 'max_depth': 4}",max_prob_clusters,iris
iris_match_class_distribution_cfg8,0.65,0.6453102453102453,0.6347186147186148,0.65,0.4392133192527084,0.4563448344822191,0.447615218823832,0.44761521882383193,0.3757431022115556,0.30317848410757947,0.521468910445679,0.575,0.6285714285714286,0.6005934718100889,0.38,0.5294525623321533,"{'random_state': 42, 'n_estimators': 40, 'max_depth': 4}",match_class_distribution,iris
iris_chimera_cfg8,0.65,0.6446886446886447,0.634065934065934,0.65,0.4308447607977409,0.4336806654745192,0.43225806182392373,0.4322580618239238,0.3608641988499064,0.2892768079800499,0.5043668951391246,0.5666666666666667,0.6000000000000001,0.5828571428571429,0.36500000000000005,0.6642370223999023,"{'random_state': 42, 'n_estimators': 40, 'max_depth': 4}",chimera,iris
iris_menu_cfg8,0.65,0.5857142857142857,0.5721428571428572,0.6,0.42563392209435297,0.4617157039445305,0.44294122676252545,0.44294122676252545,0.3678331474660834,0.30787589498806683,0.5339973609121261,0.5611111111111111,0.6571428571428573,0.605342019543974,0.36250000000000004,0.5507605075836182,"{'random_state': 42, 'n_estimators': 40, 'max_depth': 4}",menu,iris
iris_select_clusters_cfg9,0.8,0.6199430199430199,0.610940170940171,0.6,0.6205631738651606,0.4885216093532874,0.546682318591114,0.546682318591114,0.4309538082524227,0.3403693931398417,0.5216478327053429,0.7166666666666666,0.5714285714285714,0.6358595194085027,0.47,0.6360933780670166,"{'random_state': 42, 'n_estimators': 45, 'max_depth': 6}",select_clusters,iris
iris_balance_lists_n_clusters_cfg9,0.65,0.5952380952380952,0.5821428571428571,0.6,0.42320622571530636,0.42929260278115833,0.42622768754049417,0.42622768754049417,0.35343055880033636,0.2803970223325062,0.5000743328629693,0.5585714285714286,0.6000000000000001,0.5785450061652281,0.36,1.0538718700408936,"{'random_state': 42, 'n_estimators': 45, 'max_depth': 6}",balance_lists_n_clusters,iris
iris_max_prob_clusters_cfg9,0.65,0.5857142857142857,0.5721428571428572,0.6,0.42563392209435297,0.4617157039445305,0.44294122676252545,0.44294122676252545,0.3678331474660834,0.30787589498806683,0.5339973609121261,0.5611111111111111,0.6571428571428573,0.605342019543974,0.36250000000000004,0.8203401565551758,"{'random_state': 42, 'n_estimators': 45, 'max_depth': 6}",max_prob_clusters,iris
iris_match_class_distribution_cfg9,0.65,0.6453102453102453,0.6347186147186148,0.65,0.4392133192527084,0.4563448344822191,0.447615218823832,0.44761521882383193,0.3757431022115556,0.30317848410757947,0.521468910445679,0.575,0.6285714285714286,0.6005934718100889,0.38,0.597491979598999,"{'random_state': 42, 'n_estimators': 45, 'max_depth': 6}",match_class_distribution,iris
iris_chimera_cfg9,0.65,0.6446886446886447,0.634065934065934,0.65,0.4308447607977409,0.4336806654745192,0.43225806182392373,0.4322580618239238,0.3608641988499064,0.2892768079800499,0.5043668951391246,0.5666666666666667,0.6000000000000001,0.5828571428571429,0.36500000000000005,0.5956728458404541,"{'random_state': 42, 'n_estimators': 45, 'max_depth': 6}",chimera,iris
