cluster,cluster_description,cluster_weight,cluster_ef_sample,cluster_n_sample,cluster_count,cluster_desc_relative
65.0,5.95 <= petal_length <= 8.9 AND 1.0 <= petal_width <= 3.05 AND 4.75 <= sepal_length <= 7.9,9.5859477124183,0.9333333333333332,30.0,2.0,"petal_length = Percentile 100, petal_width = Percentile 20, sepal_length = Percentile 100."
66.0,3.3 <= petal_length <= 6.6 AND 2.75 <= petal_width <= 3.15 AND 4.85 <= sepal_length <= 7.9,10.012745098039217,1.0,12.0,1.0,"petal_length = Percentile 20, petal_width = Percentile 40, sepal_length = Percentile 100."
67.0,3.3 <= petal_length <= 6.6 AND 1.0 <= petal_width <= 2.75 AND 4.95 <= sepal_length <= 7.9,9.5921568627451,0.9375,8.0,3.0,"petal_length = Percentile 20, petal_width = Percentile 20, sepal_length = Percentile 100."
68.0,5.45 <= petal_length <= 8.9 AND 1.0 <= petal_width <= 3.6 AND 4.85 <= sepal_length <= 4.95,8.672549019607844,0.8,5.0,1.0,"petal_length = Percentile 100, petal_width = Percentile 20, sepal_length = Percentile 80."
69.0,5.45 <= petal_length <= 8.9 AND 2.9 <= petal_width <= 3.7 AND 4.75 <= sepal_length <= 5.05,8.005882352941176,0.7,5.0,1.0,"petal_length = Percentile 100, petal_width = Percentile 80, sepal_length = Percentile 80."
70.0,3.3 <= petal_length <= 6.6 AND 2.75 <= petal_width <= 5.4 AND 4.95 <= sepal_length <= 5.15,10.004901960784315,1.0,4.0,1.0,"petal_length = Percentile 20, petal_width = Percentile 100, sepal_length = Percentile 80."
71.0,5.45 <= petal_length <= 8.9 AND 3.55 <= petal_width <= 5.4 AND 0.0 <= sepal_length <= 4.75,3.3382352941176467,0.0,4.0,1.0,"petal_length = Percentile 100, petal_width = Percentile 100, sepal_length = Percentile 40."
72.0,3.3 <= petal_length <= 6.6 AND 1.0 <= petal_width <= 2.6 AND 4.95 <= sepal_length <= 5.15,10.003921568627451,1.0,3.0,1.0,"petal_length = Percentile 20, petal_width = Percentile 20, sepal_length = Percentile 80."
73.0,6.05 <= petal_length <= 6.6 AND 2.6 <= petal_width <= 5.4 AND 4.75 <= sepal_length <= 4.95,10.003921568627451,1.0,3.0,1.0,"petal_length = Percentile 80, petal_width = Percentile 100, sepal_length = Percentile 80."
74.0,3.3 <= petal_length <= 6.45 AND 2.65 <= petal_width <= 5.4 AND 4.85 <= sepal_length <= 4.95,10.003921568627451,1.0,3.0,1.0,"petal_length = Percentile 20, petal_width = Percentile 100, sepal_length = Percentile 80."
75.0,3.3 <= petal_length <= 6.6 AND 2.6 <= petal_width <= 2.75 AND 4.95 <= sepal_length <= 5.15,8.89281045751634,0.8333333333333334,3.0,1.0,"petal_length = Percentile 20, petal_width = Percentile 20, sepal_length = Percentile 80."
76.0,3.3 <= petal_length <= 6.6 AND 1.0 <= petal_width <= 2.75 AND 4.85 <= sepal_length <= 4.95,8.336274509803923,0.75,2.0,1.0,"petal_length = Percentile 20, petal_width = Percentile 20, sepal_length = Percentile 80."
77.0,5.45 <= petal_length <= 8.9 AND 3.05 <= petal_width <= 5.4 AND 4.75 <= sepal_length <= 4.95,6.669607843137254,0.5,2.0,1.0,"petal_length = Percentile 100, petal_width = Percentile 100, sepal_length = Percentile 80."
78.0,3.3 <= petal_length <= 4.95 AND 2.45 <= petal_width <= 5.4 AND 2.45 <= sepal_length <= 4.95,10.001960784313725,1.0,1.0,1.0,"petal_length = Percentile 20, petal_width = Percentile 100, sepal_length = Percentile 40."
79.0,1.0 <= petal_width <= 3.35 AND 1.75 <= sepal_width <= 3.5,9.959875657580104,0.9878048780487805,41.0,1.0,"petal_width = Percentile 20, sepal_width = Percentile 100."
80.0,3.6 <= petal_width <= 5.4 AND 1.55 <= sepal_width <= 3.5,10.00294117647059,1.0,2.0,1.0,"petal_width = Percentile 100, sepal_width = Percentile 100."
81.0,2.55 <= petal_width <= 5.4 AND 4.75 <= sepal_length <= 7.9 AND 1.55 <= sepal_width <= 3.5,9.828687127024724,0.967391304347826,46.0,3.0,"petal_width = Percentile 100, sepal_length = Percentile 100, sepal_width = Percentile 100."
82.0,1.0 <= petal_width <= 3.05 AND 4.85 <= sepal_length <= 5.15 AND 1.7 <= sepal_width <= 3.5,10.009803921568627,1.0,9.0,3.0,"petal_width = Percentile 20, sepal_length = Percentile 80, sepal_width = Percentile 100."
83.0,1.0 <= petal_width <= 3.1 AND 0.0 <= sepal_length <= 4.95 AND 1.6 <= sepal_width <= 3.5,10.00686274509804,1.0,6.0,5.0,"petal_width = Percentile 20, sepal_length = Percentile 40, sepal_width = Percentile 100."
84.0,1.0 <= petal_width <= 2.85 AND 2.45 <= sepal_length <= 7.9 AND 1.45 <= sepal_width <= 1.6,7.784640522875816,0.6666666666666666,6.0,1.0,"petal_width = Percentile 20, sepal_length = Percentile 80, sepal_width = Percentile 80."
85.0,1.0 <= petal_width <= 3.05 AND 4.85 <= sepal_length <= 5.15 AND -0.9 <= sepal_width <= 1.7,8.005882352941176,0.7,5.0,1.0,"petal_width = Percentile 20, sepal_length = Percentile 80, sepal_width = Percentile 40."
86.0,1.0 <= petal_width <= 2.55 AND 4.45 <= sepal_length <= 5.35 AND -0.9 <= sepal_width <= 1.75,8.338235294117649,0.75,4.0,1.0,"petal_width = Percentile 20, sepal_length = Percentile 80, sepal_width = Percentile 40."
87.0,1.0 <= petal_width <= 2.85 AND 4.95 <= sepal_length <= 7.9 AND -0.9 <= sepal_width <= 1.55,10.003921568627451,1.0,3.0,1.0,"petal_width = Percentile 20, sepal_length = Percentile 100, sepal_width = Percentile 40."
88.0,2.75 <= petal_width <= 3.05 AND 4.85 <= sepal_length <= 5.0 AND 0.8 <= sepal_width <= 3.5,8.89281045751634,0.8333333333333334,3.0,1.0,"petal_width = Percentile 40, sepal_length = Percentile 80, sepal_width = Percentile 100."
89.0,1.0 <= petal_width <= 2.6 AND 0.0 <= sepal_length <= 5.35 AND 1.35 <= sepal_width <= 1.6,7.781699346405228,0.6666666666666666,3.0,1.0,"petal_width = Percentile 20, sepal_length = Percentile 40, sepal_width = Percentile 60."
90.0,1.0 <= petal_width <= 3.05 AND 4.75 <= sepal_length <= 4.95 AND 0.8 <= sepal_width <= 1.65,6.669607843137254,0.5,2.0,2.0,"petal_width = Percentile 20, sepal_length = Percentile 80, sepal_width = Percentile 60."
91.0,1.0 <= petal_width <= 2.6 AND 0.0 <= sepal_length <= 5.35 AND 1.6 <= sepal_width <= 1.75,10.001960784313725,1.0,1.0,1.0,"petal_width = Percentile 20, sepal_length = Percentile 40, sepal_width = Percentile 80."
92.0,1.0 <= petal_width <= 3.35 AND 5.4 <= sepal_length <= 7.9 AND 1.55 <= sepal_width <= 1.75,10.001960784313725,1.0,1.0,1.0,"petal_width = Percentile 20, sepal_length = Percentile 100, sepal_width = Percentile 80."
93.0,3.3 <= petal_length <= 6.25 AND 1.0 <= petal_width <= 3.1 AND 1.65 <= sepal_width <= 3.5,10.010784313725491,1.0,10.0,2.0,"petal_length = Percentile 20, petal_width = Percentile 20, sepal_width = Percentile 100."
94.0,3.3 <= petal_length <= 6.05 AND 2.75 <= petal_width <= 5.4 AND 1.55 <= sepal_width <= 3.5,8.89575163398693,0.8333333333333334,6.0,1.0,"petal_length = Percentile 20, petal_width = Percentile 100, sepal_width = Percentile 100."
95.0,3.3 <= petal_length <= 6.25 AND 1.0 <= petal_width <= 2.45 AND 1.45 <= sepal_width <= 1.65,8.336274509803923,0.75,2.0,1.0,"petal_length = Percentile 20, petal_width = Percentile 20, sepal_width = Percentile 80."
96.0,6.05 <= petal_length <= 6.25 AND 3.1 <= petal_width <= 5.4 AND 1.65 <= sepal_width <= 3.5,10.001960784313725,1.0,1.0,1.0,"petal_length = Percentile 80, petal_width = Percentile 100, sepal_width = Percentile 100."
97.0,7.1 <= petal_length <= 8.9 AND 2.65 <= petal_width <= 5.4 AND 0.75 <= sepal_width <= 1.75,10.001960784313725,1.0,1.0,1.0,"petal_length = Percentile 100, petal_width = Percentile 100, sepal_width = Percentile 60."
98.0,3.3 <= petal_length <= 5.55 AND 1.0 <= petal_width <= 2.8 AND -0.9 <= sepal_width <= 0.65,3.3352941176470585,0.0,1.0,1.0,"petal_length = Percentile 20, petal_width = Percentile 20, sepal_width = Percentile 20."
99.0,2.75 <= petal_width <= 5.4 AND 5.05 <= sepal_length <= 7.9,10.035294117647059,1.0,35.0,2.0,"petal_width = Percentile 100, sepal_length = Percentile 100."
100.0,6.05 <= petal_length <= 8.9 AND 1.55 <= sepal_width <= 3.5,9.878574844571975,0.975609756097561,41.0,4.0,"petal_length = Percentile 100, sepal_width = Percentile 100."
101.0,3.3 <= petal_length <= 5.45 AND 1.6 <= sepal_width <= 3.5,10.001960784313725,1.0,1.0,3.0,"petal_length = Percentile 20, sepal_width = Percentile 100."
