cluster_1,cluster_2,similarity,delta_cluster_ef_sample,score
34.0,70.0,0.25,0.0,0.0
79.0,99.0,0.0,0.012,0.0
28.0,3.0,0.625,0.0,0.0
94.0,86.0,0.0,0.083,0.0
4.0,35.0,0.75,0.0,0.0
0.0,1.0,0.75,0.0,0.0
93.0,35.0,0.5,0.0,0.0
82.0,70.0,0.25,0.0,0.0
93.0,36.0,0.0,0.3,0.0
93.0,5.0,0.5,0.0,0.0
93.0,83.0,0.5,0.0,0.0
93.0,82.0,0.5,0.0,0.0
93.0,4.0,0.75,0.0,0.0
32.0,3.0,0.0,0.455,0.0
59.0,28.0,0.0,0.478,0.0
33.0,32.0,0.542,0.0,0.0
59.0,29.0,0.0,0.454,0.0
2.0,3.0,0.688,0.0,0.0
66.0,70.0,0.479,0.0,0.0
66.0,7.0,0.562,0.0,0.0
66.0,6.0,0.188,0.0,0.0
66.0,34.0,0.167,0.0,0.0
66.0,35.0,0.417,0.0,0.0
93.0,34.0,0.25,0.0,0.0
82.0,7.0,0.417,0.0,0.0
82.0,6.0,0.583,0.0,0.0
60.0,59.0,0.5,0.0,0.0
4.0,6.0,0.583,0.0,0.0
4.0,7.0,0.667,0.0,0.0
60.0,29.0,0.0,0.454,0.0
4.0,5.0,0.75,0.0,0.0
4.0,70.0,0.5,0.0,0.0
60.0,28.0,0.0,0.478,0.0
4.0,83.0,0.583,0.0,0.0
82.0,83.0,0.583,0.0,0.0
93.0,6.0,0.5,0.0,0.0
4.0,82.0,0.75,0.0,0.0
60.0,3.0,0.0,0.478,0.0
82.0,5.0,0.75,0.0,0.0
93.0,70.0,0.25,0.0,0.0
93.0,7.0,0.5,0.0,0.0
82.0,35.0,0.5,0.0,0.0
82.0,34.0,0.5,0.0,0.0
66.0,5.0,0.354,0.0,0.0
66.0,83.0,0.188,0.0,0.0
66.0,82.0,0.354,0.0,0.0
94.0,85.0,0.0,0.133,0.0
0.0,34.0,0.667,0.0,0.0
83.0,6.0,0.75,0.0,0.0
83.0,7.0,0.25,0.0,0.0
83.0,39.0,0.0,0.125,0.0
0.0,35.0,0.417,0.0,0.0
83.0,70.0,0.083,0.0,0.0
28.0,99.0,0.0,0.5,0.0
0.0,5.0,0.667,0.0,0.0
83.0,35.0,0.333,0.0,0.0
0.0,83.0,0.25,0.0,0.0
94.0,36.0,0.0,0.133,0.0
0.0,82.0,0.417,0.0,0.0
0.0,4.0,0.417,0.0,0.0
94.0,68.0,0.0,0.033,0.0
0.0,93.0,0.25,0.0,0.0
0.0,66.0,0.312,0.0,0.0
83.0,34.0,0.333,0.0,0.0
0.0,6.0,0.5,0.0,0.0
66.0,4.0,0.604,0.0,0.0
1.0,83.0,0.5,0.0,0.0
66.0,93.0,0.438,0.0,0.0
1.0,70.0,0.167,0.0,0.0
1.0,7.0,0.5,0.0,0.0
1.0,6.0,0.75,0.0,0.0
1.0,34.0,0.667,0.0,0.0
1.0,35.0,0.417,0.0,0.0
1.0,5.0,0.917,0.0,0.0
1.0,82.0,0.667,0.0,0.0
0.0,7.0,0.75,0.0,0.0
1.0,4.0,0.667,0.0,0.0
28.0,61.0,0.417,0.0,0.0
1.0,93.0,0.5,0.0,0.0
28.0,79.0,0.0,0.488,0.0
1.0,66.0,0.437,0.0,0.0
0.0,70.0,0.417,0.0,0.0
83.0,5.0,0.583,0.0,0.0
59.0,3.0,0.0,0.478,0.0
